datetime,adx,plus_di,minus_di,atr,wma,cci,roc,slow_k,slow_d,sar,mfi,vwap
2024-10-22,20.24206,,,6.34860,483.59676,95.15250,0.56981,85.53430,83.01189,485.17697,69.74569,495.12500
2024-10-21,20.33049,,,6.41580,482.89509,91.81487,1.25077,83.84663,76.04349,484.30551,63.20958,494.32001
2024-10-18,20.63482,,,6.53086,482.17929,104.45623,2.56586,79.65475,69.10879,483.37841,61.31706,494.44667
2024-10-17,20.48054,,,6.70093,481.46436,92.53885,0.80645,64.62908,63.47806,482.39214,53.99910,492.97666
2024-10-16,20.31439,,,6.78715,480.83140,53.12091,1.93526,63.04253,73.19963,481.34292,47.49450,490.05667
2024-10-15,20.88592,,,6.99232,480.17148,102.61766,1.84666,62.76256,83.35121,480.22672,54.57788,492.67667
2024-10-14,21.25972,,,6.77480,479.47040,178.50751,3.37233,93.79381,92.09253,479.03928,62.69029,497.19667
2024-10-11,20.04738,,,6.87517,478.47030,131.29992,1.08386,93.49727,92.97731,478.39633,62.61113,492.64000
2024-10-10,19.36125,,,7.07942,477.60612,139.04760,1.19979,88.98650,86.14689,477.72659,62.97260,492.19667
2024-10-09,18.62235,,,7.24399,476.75525,138.53318,0.75183,96.44815,72.91091,477.39999,55.10712,491.61001
2024-10-08,17.92888,,,7.35660,475.85449,86.50216,0.71631,73.00602,64.79593,492.13392,57.98671,487.71333
2024-10-07,17.71818,,,7.31557,475.08479,40.39072,-0.67371,49.27856,56.84024,492.43461,50.05690,483.18000
2024-10-04,18.03478,,,7.38216,474.58244,67.70639,0.88605,72.10320,57.29771,492.74144,56.22243,485.86334
2024-10-03,18.04227,,,7.46617,473.85260,42.15128,-0.17619,49.13895,51.16521,493.05453,50.23684,481.70999
2024-10-02,18.58161,,,7.61280,473.33318,43.62358,-0.29170,50.65098,63.69488,493.37401,50.61783,481.18334
2024-10-01,19.27176,,,7.72455,472.79860,55.71169,2.08510,53.70570,74.68328,493.70001,57.54856,482.22333
2024-09-30,20.01500,,,7.49797,472.29151,89.00642,3.07927,86.72795,86.90140,476.27676,67.89392,486.46667
2024-09-27,19.73608,,,7.65244,471.50769,106.45790,2.85479,83.61620,89.66716,472.95805,74.31943,487.65000
2024-09-26,18.86243,,,7.85031,470.76994,134.35488,2.97261,90.36005,94.28943,469.00720,79.65460,489.65667
2024-09-25,17.87000,,,7.84649,469.91948,122.92083,2.66261,95.02525,94.70744,465.94953,70.50657,486.05667
2024-09-24,17.49635,,,8.20160,469.22041,115.46252,3.57432,97.48298,93.04462,463.17038,70.87841,483.95667
2024-09-23,17.28019,,,8.35865,468.54745,113.84432,5.31549,91.61409,91.36870,460.60820,64.92559,482.92668
2024-09-20,17.32713,,,8.80624,467.97510,104.46223,6.15676,90.03678,86.12442,457.76133,57.77595,481.47666
2024-09-19,17.43397,,,9.06903,467.43372,124.68691,7.72693,92.45524,84.46903,454.59814,64.35890,483.36000
2024-09-18,17.18044,,,8.62895,466.87163,38.32138,2.25577,75.88124,81.72727,452.49103,63.46074,473.69999
2024-09-17,17.81598,,,8.67733,466.79765,36.89130,2.79629,85.07060,84.54784,450.88833,63.79356,474.02000
2024-09-16,18.66531,,,8.83482,466.66198,19.57765,2.47504,84.22998,80.33956,449.81992,58.15262,472.33000
2024-09-13,20.09052,,,9.09519,466.55409,38.80589,-0.19527,84.34294,70.49582,448.70700,57.57354,474.70667
2024-09-12,21.29005,,,9.46559,466.37616,11.37759,0.54392,72.44575,51.72555,448.19000,58.17299,471.37001
2024-09-11,22.90912,,,9.64064,466.29216,-53.03027,-0.57919,54.69877,33.17267,473.34858,50.63832,463.09000
